id,name,status,species,gender,origin_name,location_name
35,Bepisian,Alive,Alien,unknown,Bepis 9,Bepis 9
36,Beta-Seven,Alive,Alien,unknown,unknown,unknown
37,Beth Sanchez,Alive,Human,Female,Earth (C-500A),Earth (C-500A)
38,Beth Smith,Alive,Human,Female,Earth (C-137),Earth (C-137)
39,Beth Smith,Alive,Human,Female,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension)
40,Beth's Mytholog,Dead,Mythological Creature,Female,Nuptia 4,Nuptia 4
41,Big Boobed Waitress,Alive,Mythological Creature,Female,Fantasy World,Fantasy World
42,Big Head Morty,unknown,Human,Male,unknown,Citadel of Ricks
43,Big Morty,Dead,Human,Male,unknown,Citadel of Ricks
44,Body Guard Morty,Dead,Human,Male,unknown,Citadel of Ricks
45,Bill,Alive,Human,Male,Earth (C-137),Earth (C-137)
46,Bill,unknown,Animal,Male,Earth (Replacement Dimension),unknown
47,Birdperson,Alive,Alien,Male,Bird World,Planet Squanch
48,Black Rick,Alive,Human,Male,unknown,Citadel of Ricks
49,Blamph,Alive,Alien,unknown,unknown,Interdimensional Cable
50,Blim Blam,Alive,Alien,Male,unknown,Earth (Replacement Dimension)
51,Blue Diplomat,Alive,Alien,Male,unknown,Interdimensional Cable
52,Blue Footprint Guy,Dead,Human,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth
53,Blue Shirt Morty,unknown,Human,Male,unknown,Citadel of Ricks
54,Bobby Moynihan,Alive,Human,Male,unknown,Interdimensional Cable
55,Boobloosian,Dead,Alien,unknown,unknown,Nuptia 4
56,Bootleg Portal Chemist Rick,Dead,Human,Male,unknown,Citadel of Ricks
57,Borpocian,Alive,Alien,Male,unknown,unknown
58,Brad,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
59,Brad Anderson,Dead,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
60,Calypso,Dead,Human,Female,unknown,unknown
61,Campaign Manager Morty,Dead,Human,Male,unknown,Citadel of Ricks
62,Canklanker Thom,Dead,Alien,Male,Gromflom Prime,unknown
63,Centaur,Alive,Mythological Creature,Male,unknown,Mr. Goldenfold's dream
64,Chris,Dead,Alien,unknown,unknown,Earth (Replacement Dimension)
65,Chris,Alive,Humanoid,Male,Rick's Battery Microverse,Rick's Battery Microverse
66,Coach Feratu (Balik Alistane),Dead,Mythological Creature,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
67,Collector,Alive,Alien,Male,The Menagerie,The Menagerie
68,Colossus,Dead,Human,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth
69,Commander Rick,Dead,Human,Male,unknown,Citadel of Ricks
70,Concerto,Dead,Humanoid,Male,unknown,unknown
71,Conroy,Dead,Robot,unknown,Earth (Replacement Dimension),Earth (C-137)
72,Cool Rick,Alive,Human,Male,Earth (K-83),Citadel of Ricks
73,Cop Morty,Dead,Human,Male,unknown,Citadel of Ricks
74,Cop Rick,Alive,Human,Male,unknown,Citadel of Ricks
75,Courier Flap,Alive,Alien,unknown,unknown,Planet Squanch
76,Cousin Nicky,Dead,Alien,Male,unknown,Earth (Replacement Dimension)
77,Cowboy Morty,Alive,Human,Male,unknown,Citadel of Ricks
78,Cowboy Rick,Alive,Human,Male,unknown,Citadel of Ricks
79,Crab Spider,Alive,Alien,unknown,Hideout Planet,Hideout Planet
80,Creepy Little Girl,Alive,Human,Female,unknown,Mr. Goldenfold's dream
81,Crocubot,Dead,Animal,Male,unknown,Worldender's lair
82,Cronenberg Rick,unknown,Cronenberg,Male,Cronenberg Earth,Earth (C-137)
83,Cronenberg Morty,unknown,Cronenberg,Male,Cronenberg Earth,Earth (C-137)
84,Cult Leader Morty,Alive,Human,Male,unknown,Hideout Planet
85,Cyclops Morty,Alive,Humanoid,Male,unknown,Citadel of Ricks
86,Cyclops Rick,Dead,Humanoid,Male,unknown,Citadel of Ricks
87,Cynthia,Dead,Alien,Female,unknown,Zigerion's Base
88,Cynthia,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
89,Dale,Dead,Mythological Creature,Male,Giant's Town,Giant's Town
90,Daron Jefferson,Alive,Alien,Male,Unity's Planet,Unity's Planet
91,David Letterman,Alive,Human,Male,Earth (C-500A),Earth (C-500A)
92,Davin,Dead,Human,Male,Earth (C-137),Earth (C-137)
93,Diablo Verde,Dead,Mythological Creature,Male,unknown,Dorian 5
94,Diane Sanchez,Dead,Human,Female,Earth (C-137),Rick's Memories
95,Dipper and Mabel Mortys,unknown,Human,unknown,unknown,Citadel of Ricks
96,Tuberculosis,Dead,Disease,unknown,Anatomy Park,Anatomy Park
97,Gonorrhea,Dead,Disease,unknown,Anatomy Park,Anatomy Park
98,Hepatitis A,Dead,Disease,unknown,Anatomy Park,Anatomy Park
99,Hepatitis C,Dead,Disease,unknown,Anatomy Park,Anatomy Park
100,Bubonic Plague,Dead,Disease,unknown,Anatomy Park,Anatomy Park
101,E. Coli,Dead,Disease,unknown,Anatomy Park,Anatomy Park
102,Donna Gueterman,Dead,Robot,Female,unknown,Planet Squanch
103,Doofus Rick,unknown,Human,Male,Earth (J19ζ7),Earth (Replacement Dimension)
104,Doom-Nomitron,Dead,Alien,unknown,unknown,Dorian 5
105,Dr. Glip-Glop,Dead,Alien,Male,unknown,St. Gloopy Noops Hospital
106,Dr. Schmidt,unknown,Human,Male,Roy: A Life Well Lived,Roy: A Life Well Lived
107,Dr. Wong,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
108,Dr. Xenon Bloom,Dead,Humanoid,Male,unknown,Anatomy Park
109,Duck With Muscles,Dead,Alien,Male,unknown,Earth (Replacement Dimension)
110,Eli,Alive,Human,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth
111,Eli's Girlfriend,Alive,Human,Female,Post-Apocalyptic Earth,Post-Apocalyptic Earth
112,Eric McMan,Alive,Human,Male,Earth (C-137),Earth (C-137)
113,Eric Stoltz Mask Morty,unknown,Human,Male,Eric Stoltz Mask Earth,Earth (Replacement Dimension)
114,Ethan,unknown,Human,Male,Earth (C-137),Earth (C-137)
115,Ethan,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
116,Evil Beth Clone,Dead,Human,Female,unknown,Earth (C-137)
117,Evil Jerry Clone,Dead,Human,Male,unknown,Earth (C-137)
118,Evil Morty,Alive,Human,Male,unknown,Citadel of Ricks
119,Evil Rick,Dead,Humanoid,Male,unknown,Citadel of Ricks
120,Evil Summer Clone,Dead,Human,Female,unknown,Earth (C-137)
121,Eyehole Man,Alive,Alien,Male,unknown,Interdimensional Cable
122,Fart,Dead,Alien,Male,unknown,unknown
123,Fat Morty,Alive,Human,Male,unknown,Citadel of Ricks
124,Father Bob,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
125,Flansian,Alive,Alien,unknown,unknown,Planet Squanch
126,Fleeb,unknown,Alien,unknown,unknown,Interdimensional Cable
127,Frank Palicky,Dead,Human,Male,Earth (C-137),Earth (C-137)
128,Frankenstein's Monster,Dead,Alien,Male,unknown,Earth (Replacement Dimension)
129,Fulgora,Alive,Human,Female,unknown,Interdimensional Cable
130,Galactic Federation President,Dead,Alien,Male,unknown,unknown
131,Gar Gloonch,Dead,Alien,Male,unknown,Nuptia 4
132,Gar's Mytholog,Dead,Mythological Creature,Male,Nuptia 4,Nuptia 4
133,Garblovian,Alive,Alien,Male,Glaagablaaga,unknown
134,Garmanarnar,Alive,Alien,Male,unknown,Interdimensional Cable
135,Garment District Rick,Dead,Human,Male,unknown,Citadel of Ricks
136,Gazorpazorpfield,Alive,Alien,Male,Gazorpazorp,Interdimensional Cable
137,Gene,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
138,General Nathan,Dead,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
139,General Store Owner,Dead,Alien,Male,Purge Planet,Purge Planet
140,Genital Washer,Alive,Human,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth
141,Ghost in a Jar,Dead,Alien,Genderless,unknown,Earth (Replacement Dimension)
142,Gibble Snake,Dead,Alien,unknown,Resort Planet,Resort Planet
143,Glasses Morty,Alive,Human,Male,unknown,Citadel of Ricks
144,Glenn,Dead,Alien,Male,unknown,Interdimensional Customs
145,Glenn,Alive,Human,Male,unknown,Interdimensional Cable
146,Glexo Slim Slom,Alive,Alien,Male,unknown,Nuptia 4
147,Gobo,Dead,Alien,Male,unknown,Earth (Replacement Dimension)
148,Goddess Beth,unknown,Mythological Creature,Female,Nuptia 4,Nuptia 4
149,Gordon Lunas,Dead,Human,Male,unknown,Earth (Replacement Dimension)
150,Cornvelious Daniel,Dead,Alien,Male,unknown,Galactic Federation Prison
151,Gwendolyn,unknown,Robot,Female,Gazorpazorp,Earth (Replacement Dimension)
152,Hammerhead Morty,unknown,Humanoid,Male,unknown,Citadel of Ricks
153,Hamster In Butt,Alive,Animal,unknown,Hamster in Butt World,Hamster in Butt World
154,Hamurai,Dead,Alien,Male,unknown,Earth (Replacement Dimension)
155,Harold,Alive,Cronenberg,Male,Earth (C-137),Earth (C-137)
156,Hemorrhage,Alive,Human,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth
157,Hole in the Wall Where the Men Can See it All,unknown,unknown,Genderless,unknown,Interdimensional Cable
158,Hookah Alien,Alive,Alien,unknown,unknown,Interdimensional Customs
159,Hunter,Dead,Human,Male,Earth (Giant Telepathic Spiders Dimension),Earth (Giant Telepathic Spiders Dimension)
160,Hunter's Father,Alive,Human,Male,Earth (Giant Telepathic Spiders Dimension),Earth (Giant Telepathic Spiders Dimension)
161,Hydrogen-F,Alive,Alien,Female,Alphabetrium,Alphabetrium
162,Ice-T,Alive,Alien,Male,Alphabetrium,Alphabetrium
163,Ideal Jerry,Dead,Mythological Creature,Male,Nuptia 4,Nuptia 4
164,Insurance Rick,unknown,Human,Male,unknown,Citadel of Ricks
165,Investigator Rick,Dead,Human,Male,unknown,Citadel of Ricks
166,Invisi-trooper,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
167,Izzy,Alive,Animal,unknown,Earth (Replacement Dimension),Earth (Replacement Dimension)
168,Jackie,Alive,Alien,Female,Gazorpazorp,Gazorpazorp
169,Jacob,Alive,Human,Male,Earth (C-137),Earth (C-137)
170,Jacqueline,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
171,Jaguar,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
172,Jamey,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
173,Jan-Michael Vincent,Alive,Human,Male,unknown,Interdimensional Cable
174,Jerry 5-126,Alive,Human,Male,Earth (5-126),Jerryboree
175,Jerry Smith,Alive,Human,Male,Earth (C-137),Earth (C-137)
176,Celebrity Jerry,Alive,Human,Male,Earth (C-500A),Earth (C-500A)
177,Jerry Smith,Alive,Human,Male,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension)
178,Jerry's Mytholog,Dead,Mythological Creature,Male,Nuptia 4,Nuptia 4
179,Jessica,Alive,Cronenberg,Female,Earth (C-137),Earth (C-137)
180,Jessica,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
181,Jessica's Friend,Alive,Human,Female,Earth (C-137),Earth (Replacement Dimension)
182,Jim,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
183,Johnny Depp,Alive,Human,Male,Earth (C-500A),Earth (C-500A)
184,Jon,Alive,Alien,Male,Gazorpazorp,Interdimensional Cable
185,Joseph Eli Lipkip,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
186,Joyce Smith,Alive,Human,Female,Earth (C-137),Earth (C-137)
187,Juggling Rick,unknown,Human,Male,unknown,Citadel of Ricks
188,Karen Entity,Alive,Alien,Female,Unity's Planet,Unity's Planet
189,Katarina,Dead,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
190,Keara,Alive,Alien,Female,Krootabulon,Earth (Replacement Dimension)
191,Kevin,Dead,Alien,Male,unknown,Zigerion's Base
192,King Flippy Nips,Alive,Alien,Male,Pluto,Pluto
193,King Jellybean,Dead,Mythological Creature,Male,Fantasy World,Fantasy World
194,Kozbian,Alive,Alien,unknown,unknown,Planet Squanch
195,Kristen Stewart,Alive,Human,Female,Earth (C-500A),Earth (C-500A)
196,Krombopulos Michael,Dead,Alien,Male,unknown,unknown
197,Kyle,Dead,Humanoid,Male,Zeep Xanflorp's Miniverse,Kyle's Teenyverse
198,Lady Katana,Dead,Humanoid,Female,unknown,Dorian 5
199,Larva Alien,Alive,Alien,unknown,Larva Alien's Planet,Planet Squanch
200,Lawyer Morty,unknown,Human,Male,unknown,Citadel of Ricks
201,Leonard Smith,Alive,Human,Male,Earth (C-137),Earth (C-137)
202,Lighthouse Keeper,Dead,Alien,Male,Purge Planet,Purge Planet
203,Lil B,Dead,Alien,Male,unknown,Earth (Replacement Dimension)
204,Lisa,Dead,Alien,Female,unknown,Immortality Field Resort
205,Little Dipper,Alive,Humanoid,Male,unknown,Interdimensional Cable
206,Lizard Morty,Alive,Humanoid,Male,unknown,Citadel of Ricks
207,Loggins,Alive,Alien,Male,unknown,Interdimensional Cable
208,Logic,Alive,Human,Male,unknown,Worldender's lair
209,Long Sleeved Morty,unknown,Human,Male,unknown,Citadel of Ricks
210,Lucy,Dead,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
211,Ma-Sha,Alive,Alien,Female,Gazorpazorp,Gazorpazorp
212,Magma-Q,Dead,Alien,Male,Alphabetrium,Alphabetrium
213,Magnesium-J,Alive,Alien,Male,Alphabetrium,Alphabetrium
214,Man Painted Silver Who Makes Robot Noises,Alive,Human,Male,unknown,Interdimensional Cable
215,Maximums Rickimus,Dead,Human,Male,unknown,Rick's Memories
216,MC Haps,Alive,Human,Male,Earth (C-137),Earth (C-137)
217,Mechanical Morty,Dead,Robot,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
218,Mechanical Rick,unknown,Robot,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
219,Mechanical Summer,unknown,Robot,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
220,Mega Fruit Farmer Rick,Alive,Human,Male,unknown,Citadel of Ricks
221,Melissa,Alive,Mythological Creature,Female,Mr. Goldenfold's dream,Mr. Goldenfold's dream
222,Michael Denny and the Denny Singers,Alive,Human,Male,unknown,Interdimensional Cable
223,Michael Jenkins,Dead,Human,Male,unknown,Interdimensional Cable
224,Michael McLick,Alive,Human,Male,unknown,Interdimensional Cable
225,Michael Thompson,Alive,Humanoid,Male,unknown,Interdimensional Cable
226,Million Ants,Dead,Animal,Male,unknown,Worldender's lair
227,Mitch,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
228,Mohawk Guy,Dead,Human,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth
229,Morty Mart Manager Morty,Alive,Human,Male,unknown,Citadel of Ricks
230,Morty Jr.,Alive,Humanoid,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
231,Morty Rick,unknown,Human,Male,unknown,Citadel of Ricks
232,Morty Smith,Alive,Human,Male,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension)
233,Morty K-22,Alive,Human,Male,Earth (K-22),Earth (Replacement Dimension)
234,Morty Smith,Dead,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
235,Mortytown Loco,Dead,Human,Male,unknown,Citadel of Ricks
236,Mr. Beauregard,Dead,Alien,Male,unknown,Earth (Replacement Dimension)
237,Mr. Benson,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
238,Mr. Booby Buyer,Alive,Mythological Creature,Male,Fantasy World,Fantasy World
239,Mr. Goldenfold,Alive,Cronenberg,Male,Earth (C-137),Earth (C-137)
240,Mr. Goldenfold,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
241,Mr. Marklovitz,Alive,Human,Male,Earth (C-137),Earth (Replacement Dimension)
242,Mr. Meeseeks,unknown,Humanoid,Male,Mr. Meeseeks Box,Earth (Fascist Dimension)
243,Mr. Needful,Alive,Humanoid,Male,unknown,Earth (Replacement Dimension)
244,Mr. Poopybutthole,Alive,Poopybutthole,Male,unknown,Earth (Replacement Dimension)
245,Mrs. Lipkip,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
246,Mrs. Pancakes,Alive,Human,Female,Earth (C-137),Mr. Goldenfold's dream
247,Amy Poopybutthole,Alive,Poopybutthole,Female,unknown,unknown
248,Mrs. Refrigerator,Dead,Alien,Female,unknown,Earth (Replacement Dimension)
249,Mrs. Sanchez,unknown,Human,Female,unknown,unknown
250,Mrs. Sullivan,Dead,Human,Female,Earth (C-500A),Interdimensional Cable
251,Nancy,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
252,Noob-Noob,Alive,Poopybutthole,Male,unknown,Vindicator's Base
253,Numbericon,unknown,Alien,unknown,unknown,Alphabetrium
254,Octopus Man,Alive,Humanoid,Male,unknown,Interdimensional Cable
255,Orthodox Jew,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
256,Pat Gueterman,Dead,Robot,Male,unknown,Planet Squanch
257,Paul Fleishman,Alive,Human,Male,unknown,Jerryboree
258,Pawnshop Clerk,Alive,Alien,Male,unknown,Pawn Shop Planet
259,Pencilvester,Dead,Alien,Male,unknown,Earth (Replacement Dimension)
260,Phillip Jacobs,Alive,Human,Male,unknown,Interdimensional Cable
261,Photography Cyborg,unknown,Robot,Male,unknown,Planet Squanch
262,Photography Raptor,Dead,Alien,unknown,unknown,Earth (Replacement Dimension)
263,Pibbles Bodyguard,Alive,Alien,Male,unknown,St. Gloopy Noops Hospital
264,Pichael Thompson,Alive,Humanoid,Male,unknown,Interdimensional Cable
265,Pickle Rick,Alive,unknown,Male,Earth (C-137),Earth (Replacement Dimension)
266,Piece of Toast,Alive,unknown,Genderless,unknown,Interdimensional Cable
267,Plumber Rick,Alive,Human,Male,unknown,Citadel of Ricks
268,Poncho,Dead,Human,Male,unknown,Anatomy Park
269,Presidentress of The Mega Gargantuans,Alive,Humanoid,Female,Mega Gargantuan Kingdom,Mega Gargantuan Kingdom
270,Prince Nebulon,Dead,Alien,Male,unknown,Zigerion's Base
271,Principal Vagina,Alive,Cronenberg,Male,Earth (C-137),Earth (C-137)
272,Principal Vagina,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
273,Purge Planet Ruler,Dead,Alien,Male,Purge Planet,Purge Planet
274,Quantum Rick,unknown,Human,Male,unknown,Rick's Memories
275,Randy Dicknose,Alive,Human,Male,unknown,Interdimensional Cable
276,Rat Boss,Dead,Animal,unknown,Earth (Replacement Dimension),Earth (Replacement Dimension)
277,Real Fake Doors Salesman,Alive,Human,Male,unknown,Interdimensional Cable
278,Regional Manager Rick,Dead,Human,Male,unknown,Citadel of Ricks
279,Regular Legs,Alive,Human,Male,unknown,Interdimensional Cable
280,Reverse Giraffe,Dead,Alien,Male,unknown,Earth (Replacement Dimension)
281,Reverse Rick Outrage,Dead,Human,Male,unknown,Citadel of Ricks
282,Revolio Clockberg Jr.,unknown,Alien,Male,Gear World,Gear World
283,Rick D. Sanchez III,Dead,Human,Male,unknown,Citadel of Ricks
284,Rick Guilt Rick,unknown,Human,Male,unknown,Citadel of Ricks
285,Rick Prime,Dead,Human,Male,unknown,Citadel of Ricks
286,Rick D-99,Dead,Human,Male,Earth (D-99),Citadel of Ricks
287,Rick D716,Dead,Human,Male,Earth (D716),Citadel of Ricks
288,Rick D716-B,Alive,Human,Male,Earth (D716-B),Citadel of Ricks
289,Rick D716-C,Alive,Human,Male,Earth (D716-C),Citadel of Ricks
290,Rick Sanchez,Dead,Human,Male,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension)
291,Rick J-22,Alive,Human,Male,Earth (J-22),Citadel of Ricks
292,Rick K-22,Alive,Human,Male,Earth (K-22),Earth (Replacement Dimension)
293,Rick Sanchez,Dead,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
294,Ricktiminus Sancheziminius,Dead,Human,Male,unknown,Rick's Memories
295,Riq IV,Dead,Human,Male,unknown,Citadel of Ricks
296,Risotto Groupon,Dead,Alien,Male,Resort Planet,Resort Planet
297,Risotto's Tentacled Henchman,Dead,Alien,Male,Resort Planet,Resort Planet
298,Robot Morty,unknown,Robot,Male,unknown,Citadel of Ricks
299,Robot Rick,unknown,Robot,Male,unknown,Citadel of Ricks
300,Roger,Dead,Human,Male,Earth (C-137),Anatomy Park
301,Ron Benson,Alive,Alien,Male,Unity's Planet,Unity's Planet
302,Ruben,Dead,Human,Male,Earth (C-137),Earth (C-137)
303,Samantha,Alive,Human,Female,Earth (C-137),Earth (C-137)
304,Scary Brandon,Alive,Mythological Creature,Male,Mr. Goldenfold's dream,Mr. Goldenfold's dream
305,Scary Glenn,Alive,Mythological Creature,Male,Mr. Goldenfold's dream,Mr. Goldenfold's dream
306,Scary Terry,Alive,Mythological Creature,Male,Mr. Goldenfold's dream,Mr. Goldenfold's dream
307,Scroopy Noopers,Alive,Alien,Male,Pluto,Pluto
308,Scropon,unknown,Alien,Male,unknown,Planet Squanch
309,Scrotian,Alive,Animal,Male,unknown,Signus 5 Expanse
310,Self-Congratulatory Jerry,unknown,Mythological Creature,Male,Nuptia 4,Nuptia 4
311,Shimshamian,Alive,Alien,Male,unknown,Planet Squanch
312,Shlaammi,Alive,Alien,unknown,unknown,Interdimensional Cable
313,Shleemypants,Alive,unknown,Male,unknown,Snake Planet
314,Shmlamantha Shmlicelli,Alive,Human,Female,unknown,Interdimensional Cable
315,Shmlangela Shmlobinson-Shmlower,Alive,Human,Female,unknown,Interdimensional Cable
316,Shmlona Shmlobinson,Alive,Human,Female,unknown,Interdimensional Cable
317,Shmlonathan Shmlower,Alive,Human,Male,unknown,Interdimensional Cable
318,Shmlony Shmlicelli,Alive,Human,Male,unknown,Interdimensional Cable
319,Shmooglite Runner,unknown,Alien,Male,Resort Planet,Resort Planet
320,Shnoopy Bloopers,unknown,Alien,Male,unknown,Immortality Field Resort
321,Shrimply Pibbles,Alive,Alien,Male,unknown,St. Gloopy Noops Hospital
322,Simple Rick,Dead,Human,Male,unknown,Citadel of Ricks
323,Slaveowner,Dead,Human,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth
324,Sleepy Gary,Dead,Alien,Male,unknown,Earth (Replacement Dimension)
325,Slick Morty,Dead,Human,Male,unknown,Citadel of Ricks
326,Slippery Stair,Alive,Mythological Creature,Male,Fantasy World,Earth (Replacement Dimension)
327,Slow Mobius,Alive,Humanoid,Male,unknown,Earth (Replacement Dimension)
328,Slow Rick,Alive,Human,Male,unknown,Citadel of Ricks
329,Snuffles (Snowball),Alive,Animal,Male,Earth (C-137),unknown
330,Solicitor Rick,unknown,Human,Male,unknown,Citadel of Ricks
331,Squanchy,unknown,Alien,Male,Planet Squanch,Planet Squanch
332,Stacy,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
333,Stair Goblin,Alive,Mythological Creature,Genderless,unknown,Fantasy World
334,Stealy,Alive,Poopybutthole,Male,unknown,Interdimensional Cable
335,Steve,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
336,Steven Phillips,Alive,Alien,Male,Unity's Planet,Unity's Planet
337,Stu,Dead,Alien,Male,unknown,Zigerion's Base
338,Summer Smith,Alive,Human,Female,Earth (C-137),Earth (C-137)
339,Summer Smith,Alive,Human,Female,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension)
340,Supernova,Alive,Human,Female,unknown,Worldender's lair
341,Taddy Mason,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
342,Taint Washer,Alive,Human,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth
343,Tammy Guetermann,Alive,Cronenberg,Female,Earth (C-137),Earth (C-137)
344,Tammy Guetermann,Dead,Human,Female,Earth (Replacement Dimension),NX-5 Planet Remover
345,Teacher Rick,Alive,Human,Male,unknown,Citadel of Ricks
346,Terry,unknown,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
347,President Curtis,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
348,The President of the Miniverse,Dead,Humanoid,Male,Zeep Xanflorp's Miniverse,Zeep Xanflorp's Miniverse
349,The Scientist Formerly Known as Rick,Dead,Human,Male,unknown,unknown
350,Thomas Lipkip,unknown,Human,Male,Earth (Replacement Dimension),Froopyland
351,Three Unknown Things,Alive,Alien,unknown,unknown,Interdimensional Cable
352,Tinkles,Dead,Alien,Female,unknown,Earth (Replacement Dimension)
353,Tiny Rick,Dead,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
354,Toby Matthews,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
355,Todd Crystal,Alive,Alien,Male,Unity's Planet,Unity's Planet
356,Tom Randolph,Alive,Human,Male,Earth (C-137),Earth (C-137)
357,Tommy's Clone,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
